name,url
Ars Technica Information Technology,https://feeds.arstechnica.com/arstechnica/technology-lab
Ars Technica - Gaming & Entertainment,https://feeds.arstechnica.com/arstechnica/gaming
BBC Tech,http://feeds.bbci.co.uk/news/technology/rss.xml
Krebs On Security,https://krebsonsecurity.com/feed/
SemiAnalysis,https://www.semianalysis.com/feed
Frontiers in Electronics,https://www.frontiersin.org/journals/electronics/rss
Hackster.io,https://www.hackster.io/projects?format=atom&sort=recent
Ken Shirriff's Blog,http://www.righto.com/feeds/posts/default
Chips and Cheese,https://chipsandcheese.com/feed/
WikiChip Fuse,https://fuse.wikichip.org/feed/
Planet Arduino,http://feeds.feedburner.com/planetarduino
DZone WebDev,https://feeds.dzone.com/webdev
Hugging Face Blog,https://hf.co/blog/feed.xml
Hackernoon,https://hackernoon.com/feed
Codrops,https://tympanus.net/codrops/feed/
Smashing Magazine,https://www.smashingmagazine.com/feed
ServeTheHome,https://www.servethehome.com/feed
W3C Blog,https://www.w3.org/blog/news/feed
Metafilter,http://feeds.feedburner.com/Metafilter
CoinDesk,https://www.coindesk.com/arc/outboundfeeds/rss/
arXiv CS,http://arxiv.org/rss/cs
Bleeping Computer,https://www.bleepingcomputer.com/feed/
The Register,http://www.theregister.co.uk/headlines.atom
TechCrunch,https://techcrunch.com/feed/
Joel on Software,https://www.joelonsoftware.com/feed/
Coding Horror,https://blog.codinghorror.com/rss/
David Heinemeier Hansson,https://world.hey.com/dhh/feed.atom
Robert Martin - The Clean Coder,https://blog.cleancoder.com/atom.xml
Scott Hanselman,https://feeds.hanselman.com/ScottHanselman
ASCII by Jason Scott,http://ascii.textfiles.com/feed
Hackaday,https://hackaday.com/blog/feed/
EFF Updates,https://www.eff.org/rss/updates.xml
Erik Johannes,https://erikjohannes.no/index.xml
Liliputing,https://liliputing.com/feed/
Martin Fowler,https://martinfowler.com/feed.atom
MOSFET,https://mosfet.net/rss
Raspberry Pi,https://www.raspberrypi.org/feed/
Vicki Substack,https://vicki.substack.com/feed
tmux Releases,https://github.com/tmux/tmux/releases.atom
Neovim News,https://neovim.io/news.xml
Simon Willison,https://simonwillison.net/atom/everything/
Sean Goedecke,https://www.seangoedecke.com/rss.xml
Jeff Geerling,https://www.jeffgeerling.com/blog.xml
John Gruber - Daring Fireball,https://daringfireball.net/feeds/main
Terence Eden,https://shkspr.mobi/blog/feed/
Ben Thompson,https://stratechery.com/feed/
Philipp D. Dubach,https://philippdubach.com/index.xml
Volatility Fucker,https://volatilityfucker.substack.com/feed
Chase the Devil,https://chasethedevil.github.io/index.xml
Moontower,https://moontower.substack.com/feed
Quantitative Trading (Ernie Chan),http://feeds.feedburner.com/QuantitativeTrading/
QuantStart,https://www.quantstart.com/feed/
CSS Analytics,https://cssanalytics.wordpress.com/feed/
Investment Idiocy (Robert Carver),https://qoppac.blogspot.com/feeds/posts/default
R-bloggers,https://www.r-bloggers.com/feed/
QuantInsti,https://blog.quantinsti.com/feed/
Financial Hacker,https://financial-hacker.com/feed/
FT Alphaville,https://www.ft.com/alphaville?format=rss
No Mercy No Malice - Scott Galloway,https://www.profgalloway.com/feed/
Medscape News,https://www.medscape.com/cx/rssfeeds/2700.xml
BioPharma Dive,https://www.biopharmadive.com/feeds/news/
Endpoints News,https://endpts.com/feed/
Genetic Engineering & Biotech News,https://www.genengnews.com/feed/
Marginal Revolution,https://feeds.feedburner.com/marginalrevolution/
Calculated Risk,https://feeds.feedburner.com/CalculatedRisk/
Econbrowser,https://econbrowser.com/feed/
Greg Mankiw's Blog,http://gregmankiw.blogspot.com/feeds/posts/default
The Big Picture,http://feeds.feedburner.com/TheBigPicture/
Noahpinion,https://www.noahpinion.blog/feed
Geopolitical Futures,https://geopoliticalfutures.com/feed/
Foreign Affairs,https://www.foreignaffairs.com/rss.xml
Alpha Architect,https://alphaarchitect.com/feed/
MacroBusiness,https://www.macrobusiness.com.au/feed/
Quantocracy,http://feeds.feedburner.com/Quantocracy
WSJ Opinion,https://feeds.content.dowjones.io/public/rss/RSSOpinion
NEJM - Current Issue,https://www.nejm.org/action/showFeed?jc=nejm&type=etoc&feed=rss
Michal Zalewski (lcamtuf),https://lcamtuf.substack.com/feed
Mitchell Hashimoto,https://mitchellh.com/feed.xml
Cory Doctorow,https://boingboing.net/feed
The Lancet, https://feedly.com/i/subscription/feed%2Fhttp%3A%2F%2Fwww.thelancet.com%2Frssfeed%2Flancet_current.xml
Bruce Eckel, https://www.artima.com/weblogs/feeds/bloggers/beckel.rss
Ibrahim Diallo, https://idiallo.com/feed.rss
Salvatore Sanfilippo (antirez), https://antirez.com/rss
Fierce Biotech, https://www.fiercebiotech.com/rss/xml
Chatham House, https://www.chathamhouse.org/path/83/feed.xml
Paul Graham, http://www.aaronsw.com/2002/feeds/pgessays.rss
